Count,Period,Shipments,Costco,Share,A_National,F_National,Nprice,A_Drug,F_Drug,DrugP,A_Channel,F_Channel,ChannelP,A_Conventional,F_Conventional,ConvtP,A_Discount,F_Discount,DISCTP,A_Alberta,F_Alberta,A_BC,F_BC,A_MAN+SASK,F_MAN+SASK,A_MARITIMES,F_Maritimes,A_Ontario,F_Ontario,A_Quebec,F_Quebec,A_TL_West,F_TL_WEST,GB,GB_MM_Price, GDP ,,,Count,,,L29BPT,L31BPT,L38BPT,L36BT,L3045BPT,L45BPT,A_L3029BT,F_BT29,A_L31BT,F_BT31,A_31BUV,F_BUV31,L29BPU,L31BPU,L38BPU,L36BPU,L41BPU,L45BPU,,Pulse4,SP119,SP120,SP121,Pulse145,Pulse146,Pulse148
1,Dec/17/2011,,,,431023,431023,5.623333333,126955,126955,6.38,304067,282174.47,5.313333333,201771,201771,6.33,229253,229253,5.076666667,59134,59134,45315,43656.95,34206,34206,27203,27203,184278,184278,80886,80886,142404,142404,304067,5.313333333,1560774,,,1,,,7.05,8.03,7.98,5.57,34.23,3.75,223611,223611,90883,90883,120319,120319,5.12,6.06,4.76,3.74,8.12,3.6,,0,0,0,0,0,0,0
2,Dec/24/2011,,,,501365,478255.72,5.51,148966,148966,6.24,352401,329661.84,5.196666667,225050,225050,6.256666667,276317,259307.08,4.96,62328,61294.89,53994,50400.45,37275,35511.7,37862,34102.98,227467,211033.16,82442,80129.08,150244,148633.02,352401,5.196666667,1560912,,,2,,,7.22,8.16,8.08,5.88,34.47,3.87,244296,235898.3546,101303,96976.14908,140695,129453.4084,4.94,5.87,4.63,3.47,8.17,3.6,,0,0,0,0,0,0,0
3,Dec/31/2011,,,,395611,400732.55,5.643333333,132005,132005,6.253333333,263607,282502.99,5.356666667,187718,211520.92,6.323333333,207894,242989.9,5.096666667,58187,57768.57,44353,47021.78,32543,34047.07,21440,22434.61,165302,167931.15,73790,78382.35,135642,141656.77,263607,5.356666667,1560543,,,3,,,7.11,8.03,7.97,5.61,34,3.79,203077,206781.0247,87127,91931.7648,116485,125517.5237,5.23,6.01,4.91,4,8.06,3.55,,0,0,0,0,0,0,0
4,Jan/07/2012,186487.876,8820,0.0472953,424440,430331.97,5.573333333,129364,129364,6.43,295076,282667.24,5.21,224528,199205.32,6.076666667,199913,189255.91,5.193333333,60226,57148.44,44354,43314.12,31887,31988.9,23884,25185.85,182223,185324.98,81865,76817.61,135539,130409.25,295076,5.21,1559810,,,4,,,7.07,8.1,7.75,5.47,34.22,3.8,215348,219655.2889,92262,86269.19418,129156,114896.1521,5.2,5.78,5.07,4.11,8.11,3.62,,1,0,0,0,0,0,0
5,Jan/14/2012,292086,7380,0.025266531,428698,420083.18,5.573333333,126227,126227,6.41,302470,282831.5,5.23,226669,233290.33,6.076666667,202028,195900.95,5.186666667,57773,58849.15,44324,43272.45,32445,31459.63,25362,23515.62,183151,179219.98,85643,80921.88,132036,133478.63,302470,5.23,1558857,,,5,,,7.05,8.09,7.7,5.42,34.74,3.77,220375,213828.4889,92828,90667.71702,128720,125454.5347,5.23,5.83,5.13,4.12,8.25,3.6,,0,0,0,0,0,0,0
6,Jan/21/2012,457524.032,1800,0.00393422,389343,423783.87,5.696666667,119816,119816,6.4,269527,282995.75,5.39,194804,205607.76,6.293333333,194539,197722.26,5.216666667,54188,56825.08,41874,42936.45,32040,31909.83,22355,24643.65,160552,180005.62,78334,83981.33,127156,130530.3,269527,5.39,1557833,,,6,,,6.97,7.86,7.87,5.49,34.39,3.76,208916,218146.9151,86476,91164.98114,111631,125113.3684,5.3,6.09,5.02,4.14,8.15,3.6,,0,0,0,0,0,0,0
7,Jan/28/2012,518692,9180,0.017698364,391684,389579.84,5.66,121036,121036,6.346666667,270648,283160.01,5.333333333,191734,196058.35,6.313333333,199949,191501.13,5.113333333,53306,53862.37,42573,43550.78,30785,31583.07,20651,22348.67,168675,160873.34,75693,78062.45,127158,126417.1,270648,5.333333333,1556887,,,7,,,6.86,7.85,7.82,5.06,34.26,3.76,211208,208303.1024,82474,85755.28362,106773,110923.8626,5.14,6.06,5.01,3.68,8.12,3.56,,0,0,0,0,0,0,0
8,Feb/04/2012,426440,12960,0.030391145,408554,391614.43,5.626666667,124620,124620,6.413333333,283935,283324.26,5.286666667,195147,192873.69,6.35,213406,196081.7,5.08,55346,53140.98,46047,44692.78,31776,30570.51,22014,21048.15,175464,167750.26,77908,75923.75,132708,126433.79,283935,5.286666667,1556169,,,8,,,6.79,7.82,7.93,4.88,34.33,3.74,219895,210272.0368,86541,82352.14288,111100,106905.4396,5.07,6.09,4.89,3.49,8.14,3.58,,0,0,0,0,0,0,0
9,Feb/11/2012,443520,16200,0.036525974,397968,406276.41,5.633333333,127613,127613,6.34,270355,283488.52,5.3,195306,193739.7,6.273333333,202660,207400.88,5.086666667,54557,54842.51,43834,43471.12,30583,31370.07,21911,22088.41,167809,173497.82,79274,77717.47,128627,131143.75,270355,5.3,1555822,,,9,,,6.92,7.9,7.98,5.13,34.24,3.72,210482,217734.5728,85781,85838.7497,111955,110525.0997,5.14,6.05,4.99,3.67,8.13,3.55,,0,0,0,0,0,0,0
10,Feb/18/2012,415911.592,11520,0.027698194,391526,397075.95,5.666666667,127203,127203,6.38,264325,283652.77,5.313333333,194820,194761.47,6.326666667,196708,198452.31,5.1,52685,54198.24,41598,41651.45,29429,30407.53,21210,22009.8,169538,167017.1,77070,78823.67,123388,127706.47,264325,5.313333333,1555898,,,10,,,7.05,7.96,7.97,5.32,34.43,3.83,204978,209648.3691,84865,85203.80348,111608,111257.5061,5.21,6.05,4.93,3.83,8.16,3.64,,0,0,0,0,0,0,0
11,Feb/25/2012,362560,23940,0.06603045,379437,391477.11,5.67,123814,123814,6.42,255623,252807.8,5.333333333,188567,194561.39,6.35,190870,193518.27,5.14,52031,52655.94,41030,41645.97,29701,29476.46,21812,21474.79,160265,168480.87,74600,77038.86,122829,123289.58,255623,5.333333333,1556368,,,11,,,7.08,7.93,7.95,5.35,34.4,3.77,197749,204920.1777,83580,84435.65605,109090,110990.3507,5.23,6.07,4.89,3.77,8.15,3.6,,0,0,0,0,0,0,0
12,Mar/03/2012,327598,8820,0.026923241,391082,393877.64,5.703333333,127234,127234,6.38,263849,252972.05,5.353333333,194769,191288.29,6.36,196313,188679.69,5.123333333,52373,52123.61,43562,43539.3,29239,29695.91,22711,21934.24,166864,166987.75,76337,75038.63,125441,122831.7,263849,5.353333333,1557204,,,12,,,7.03,8,7.98,5.37,34.01,3.71,206272,198710.1314,83882,83352.4365,110905,108917.8301,5.23,6.05,4.88,4,8.06,3.52,,0,0,0,0,0,0,0
13,Mar/10/2012,372513.948,5400,0.014496101,394377,394727.75,5.683333333,126804,126804,6.35,267574,253136.31,5.353333333,196310,192675.88,6.313333333,198067,193287.9,5.13,53084,52417.16,44440,43891.97,30100,29323.16,22756,22620.37,166815,168747.82,77185,76445.27,127832,125056.29,267574,5.353333333,1558375,,,13,,,6.98,8,7.84,5.3,34.1,3.77,209427,206031.7838,84035,83624.28319,110647,110448.5556,5.21,6.08,4.93,3.88,8.08,3.59,,0,0,0,0,0,0,0
14,Mar/17/2012,435523.924,27180,0.062407593,380467,381044.75,5.69,123622,123622,6.35,256845,253300.56,5.376666667,189556,195161.15,6.333333333,190911,194806.91,5.146666667,53603,53016.69,42682,42517.3,31191,30017.83,21074,22654.72,157100,159476.54,74821,77131.98,125986,127093.92,256845,5.376666667,1559782,,,14,,,7.03,8.01,7.9,5.45,34.56,3.84,201613,201495.3134,81490,83768.90563,107279,110255.4109,5.24,6.08,4.93,3.99,8.19,3.67,,0,0,0,0,0,0,0
15,Mar/24/2012,413800.784,8640,0.020879612,375817,381865.57,5.696666667,122829,122829,6.356666667,252988,253464.82,5.38,184464,192195.99,6.356666667,191352,201260.15,5.14,51733,53457.01,41218,42142.3,30409,30898.08,20418,21370.99,156768,157950.88,75272,75217.6,121936,125547.31,252988,5.38,1561252,,,15,,,6.97,7.92,7.84,5.45,34.41,3.81,203357,208254.7912,80990,88322.28847,104834,107476.0455,5.28,6.12,5.03,4.09,8.16,3.67,,0,0,0,0,0,0,0
16,Mar/31/2012,311866.01,2700,0.008657564,375430,377824.18,5.72,125381,125381,6.453333333,250048,253629.07,5.386666667,189502,187775.8,6.41,185928,190478.16,5.176666667,50897,51916.37,40590,41483.97,28537,30267.14,21011,20870.33,160399,157669.81,73997,75582.82,121162,122136.25,250048,5.386666667,1562603,,,16,,,6.97,7.96,7.69,5.51,34.66,3.86,203849,203527.6635,80974,82583.83441,104257,105464.2304,5.3,6.18,5.01,4.09,8.21,3.72,,0,0,0,0,0,0,0
17,Apr/07/2012,150532,6300,0.041851566,389841,377487.83,5.69,135434,135434,6.32,254407,253793.33,5.403333333,201445,188899.49,6.3,188396,184989.69,5.186666667,52100,52416.24,43041,43260.64,29115,28756.77,22276,21322.91,164717,160743.81,78592,74550.32,123339,121496.49,254407,5.403333333,1563656,,,17,,,6.86,7.95,7.7,5.37,34.31,3.73,211204,209505.9683,84207,81166.57338,109070,105005.8111,5.21,6.14,5.04,3.93,8.13,3.58,,0,0,0,0,0,0,0
18,Apr/14/2012,413770,9408,0.022737269,378800,390012.65,5.71,132154,132154,6.403333333,246648,253957.59,5.383333333,196754,196285.24,6.356666667,182047,178627.45,5.183333333,50336,51259.57,40839,41961.64,28166,29223.11,20409,22288.37,161787,164399.42,77264,78271.38,119800,123353.1,246648,5.383333333,1564279,,,18,,,6.96,7.9,7.81,5.56,34.63,3.77,203461,205496.0361,84012,78808.06328,108232,109029.6201,5.28,6.13,5.13,4.05,8.21,3.61,,0,0,0,0,0,0,0
19,Apr/21/2012,347312,5220,0.015029714,382522,380416.75,5.726666667,135947,135947,6.376666667,246575,254121.84,5.41,201035,197226.55,6.326666667,181487,181642.66,5.19,50295,50787.87,40673,42155.64,31417,32161.48,20719,20863.46,163551,161918.89,75866,77195.96,121510,120374.31,246575,5.41,1564538,,,19,,,6.94,8.01,7.74,5.55,34.72,3.64,206065,203617.0044,82793,83819.18093,107048,108354.1578,5.25,6.19,5.15,4.07,8.23,3.48,,0,0,0,0,0,0,0
20,Apr/28/2012,455610.398,7380,0.01619805,373985,383651.6,5.746666667,128607,128607,6.436666667,245378,254286.1,5.416666667,193567,198080.91,6.366666667,180419,181223.92,5.206666667,50119,50763.84,39430,42173.97,27169,28091.92,21023,21100.05,160253,163412.29,75996,73051.02,117806,121835.86,245378,5.416666667,1564548,,,20,,,7,8.06,7.75,5.53,34.72,3.82,200833,205853.9612,81578,82792.31574,105646,107390.968,5.29,6.22,5.07,4.04,8.23,3.63,,0,0,0,0,0,0,0
21,May/05/2012,532879.324,4680,0.008782476,384637,376231.96,5.753333333,134039,134039,6.46,250597,254450.35,5.453333333,202899,195513.54,6.4,181738,180379.77,5.236666667,51342,50627.87,41306,42534.97,28372,27653.03,21523,21332.07,161857,160620.21,80238,78608.93,119711,118717.49,250597,5.453333333,1564423,,,21,,,6.98,8.08,7.73,5.4,33.83,3.84,208380,201359.4304,83480,81768.86598,107537,106246.4933,5.3,6.27,5.1,3.99,8.02,3.64,,0,0,0,0,0,0,0
22,May/12/2012,540650,4224,0.007812818,377383,385489.78,5.713333333,127604,127604,6.353333333,249778,254614.61,5.433333333,195811,198137.04,6.32,181571,181534.51,5.21,50231,51651.94,39326,41251.97,28934,28623.64,22040,21713.68,157478,161978.15,79375,79604.32,118899,120344,249778,5.433333333,1564275,,,22,,,6.92,8.1,7.81,5.4,34.41,3.81,203883,207842.6536,80034,83406.87899,104330,107840.419,5.22,6.21,5.1,3.97,8.15,3.63,,0,0,0,0,0,0,0
23,May/19/2012,358235.82,3240,0.009044322,372899,379185.22,5.693333333,125213,125213,6.326666667,247685,254778.86,5.413333333,194518,197154.46,6.27,178380,181444.87,5.196666667,50366,50740.67,40493,42093.97,28187,30109.82,21305,22108.26,157423,158270.89,75125,78905.46,118883,119672.1,247685,5.413333333,1564198,,,23,,,7.01,8.12,7.7,5.63,33.95,3.84,199069,203979.5219,79154,80478.48105,104503,105194.9382,5.25,6.15,5.03,4.1,8.05,3.64,,0,0,0,0,0,0,0
24,May/26/2012,304204.112,6300,0.020709779,360822,375288.1,5.693333333,117633,117633,6.32,243189,254943.12,5.426666667,185026,185226.98,6.313333333,175798,178822.9,5.213333333,49972,50862.57,40275,42280.3,26539,27641.14,20858,21547.3,151569,158224.33,71610,75463.78,118712,119673.56,243189,5.426666667,1564276,,,24,,,6.91,8.07,7.57,5.67,34.38,3.77,194863,199844.0726,77264,79741.07236,101068,105360.2056,5.25,6.17,4.99,4.19,8.15,3.59,,0,0,0,0,0,0,0
25,June/02/2012,303262.232,3960,0.013058006,377346,364791.8,5.77,125046,125046,6.403333333,252299,255107.37,5.45,196520,194107.05,6.36,180823,176710.92,5.236666667,52902,50545.83,41901,42266.64,28273,27144.74,22881,21206.14,156555,153268.34,74835,72617.31,123867,119543.9,252299,5.45,1564590,,,25,,,6.85,8.03,7.69,5.64,33.99,3.75,207247,196230.9235,82342,78141.27117,105814,102525.1241,5.29,6.25,5.09,4.24,8.05,3.6,,0,0,0,0,0,0,0
26,June/09/2012,473058.116,4992,0.010552615,391106,379153.06,5.77,128734,128734,6.43,262372,255271.63,5.44,203740,195150.42,6.383333333,187366,180969.09,5.226666667,53650,52985.36,42821,41928.97,28955,28543.77,22715,22750.12,163832,157489.48,79133,75228.94,126180,123919.71,262372,5.44,1565222,,,26,,,6.9,8.04,7.65,5.66,33.98,3.74,213671,206869.354,85687,82491.12434,110887,106493.2171,5.32,6.21,5.17,4.26,8.05,3.61,,0,0,0,0,0,0,0
27,June/16/2012,484065.566,11160,0.023054728,398582,391112.09,5.783333333,136888,136888,6.356666667,261694,255435.89,5.476666667,213019,199374.22,6.336666667,185563,186498.45,5.243333333,55373,53615.56,43140,41544.3,28571,29094.02,23120,22623.43,169589,163650.18,78792,78709.49,126972,125891.37,261694,5.476666667,1566151,,,27,,,6.98,8.12,7.58,5.66,34.33,3.86,215167,212387.8681,87031,85361.2486,113790,110733.2376,5.33,6.21,5.13,4.24,8.14,3.7,,0,0,0,0,0,0,0
28,June/23/2012,527882.172,8100,0.015344333,399633,397609.59,5.726666667,139342,139342,6.266666667,260291,255600.14,5.463333333,212565,206024.87,6.27,187070,185038.8,5.24,55814,55054.24,43411,41813.64,28665,28784.2,23205,22932.53,170508,168524.05,78032,78433.34,128913,126576.35,260291,5.463333333,1567173,,,28,,,6.98,8.16,7.54,5.63,34.81,3.81,212744,213673.0015,86578,86522.8111,114778,113168.7245,5.27,6.15,5.04,4.16,8.25,3.61,,0,0,0,0,0,0,0
29,June/30/2012,528291.17,6264,0.011857098,411597,398523.03,5.69,143558,143558,6.246666667,268040,255764.4,5.42,217881,208357.89,6.263333333,193719,186350.98,5.183333333,56704,55429.88,43488,42133.97,29916,28860.04,24062,22997.4,174667,169302.07,82761,77817.89,130717,128233.31,268040,5.42,1568067,,,29,,,6.95,8.16,7.65,5.67,34.48,3.72,217813,211591.5321,88113,86149.99805,118482,114011.7314,5.22,6.07,5.05,4.17,8.17,3.58,,0,0,0,0,0,0,0
30,July/07/2012,451208,3456,0.007659439,411114,408921.13,5.66,141840,141840,6.193333333,269274,255928.65,5.41,214365,210901.18,6.213333333,196750,191969.1,5.176666667,56493,56177.84,45218,43747.64,30975,29869.38,23193,23651.47,170884,172823.08,84350,81647.46,131512,129774.38,269274,5.41,1568613,,,30,,,6.98,8.2,7.75,5.67,34.8,3.79,215539,215946.0382,86887,87474.64665,117728,117113.3157,5.18,6.05,5.15,4.02,8.25,3.6,,0,0,0,0,0,0,0
31,July/14/2012,592640,540,0.000911177,408248,408501.34,5.69,142976,142976,6.236666667,265271,256092.91,5.38,213024,210603.34,6.25,195224,194557.48,5.136666667,54995,56012.84,42757,43039.3,31297,30723.8,23119,22988.24,171036,169620.4,85043,82934.25,129935,130461.9,265271,5.38,1568657,,,31,,,6.98,8.25,7.77,5.6,34.73,3.73,213911,213992.5667,85736,86441.80449,116996,116507.7063,5.18,6.04,5.16,4.02,8.23,3.57,,0,0,0,0,0,0,0
32,July/21/2012,488594,3240,0.006631273,408886,406010.46,5.66,142682,142682,6.236666667,266203,256257.16,5.37,212262,208959.79,6.3,196624,193329.8,5.12,55959,54780.66,43820,42941.97,30681,30983.6,23128,22931.76,170091,169749.08,85209,83495.44,131390,129142.85,266203,5.37,1568323,,,32,,,7.06,8.26,7.8,5.73,33.73,3.76,211019,208362.8906,86631,85473.00138,118992,115920.3917,5.19,6.01,5.15,4.06,8,3.55,,0,0,0,0,0,0,0
33,July/28/2012,308190.032,3420,0.011097049,416755,406564.96,5.656666667,144983,144983,6.213333333,271773,256421.42,5.376666667,216282,208207.16,6.226666667,200474,194552.37,5.133333333,56506,55589.98,45640,44411.97,30926,30486.6,24470,22938.63,173075,168949.04,86139,83629.87,133444,130388.69,271773,5.376666667,1567803,,,33,,,7.03,8.14,7.81,5.77,34.2,3.77,216915,213744.43,90328,86251.18346,122341,117601.6335,5.23,6.01,5.29,4.1,8.11,3.56,,0,0,0,0,0,0,0
34,Aug/04/2012,530923.904,10176,0.019166589,429063,413404.02,5.683333333,149756,149756,6.276666667,279307,271468.42,5.386666667,219199,210014.87,6.293333333,209863,197826.59,5.146666667,58243,58004.23,47005,45641.3,29967,30684.27,23962,23962.86,183432,178278.63,86453,84382.99,134496,132141.24,279307,5.386666667,1567287,,,34,,,6.99,7.96,7.81,5.82,34.47,3.86,224643,219401.877,95967,89421.86431,126405,120408.0061,5.24,6.04,5.27,4.06,8.17,3.62,,0,0,0,0,0,0,0
